Filename.From.Neha,Bin.ID,Taxon.ID,Bin.Number,TYMEFLIES.Name,New.Filename
3300033978_13.fna,3300033978_13,3300033978,13,ME28Sep2014-rr0002,ME28Sep2014-rr0002_13.fasta
3300033984_17.fna,3300033984_17,3300033984,17,ME13Mar2001-rr0030,ME13Mar2001-rr0030_17.fasta
3300033996_10.fna,3300033996_10,3300033996,10,ME20Jul2016-rr0004,ME20Jul2016-rr0004_10.fasta
3300033996_22.fna,3300033996_22,3300033996,22,ME20Jul2016-rr0004,ME20Jul2016-rr0004_22.fasta
3300034012_7.fna,3300034012_7,3300034012,7,ME18Aug2017-rr0027,ME18Aug2017-rr0027_7.fasta
3300034021_14.fna,3300034021_14,3300034021,14,ME01Oct2014-rr0057,ME01Oct2014-rr0057_14.fasta
3300034021_18.fna,3300034021_18,3300034021,18,ME01Oct2014-rr0057,ME01Oct2014-rr0057_18.fasta
3300034021_30.fna,3300034021_30,3300034021,30,ME01Oct2014-rr0057,ME01Oct2014-rr0057_30.fasta
3300034022_22.fna,3300034022_22,3300034022,22,ME20Apr2018-rr0058,ME20Apr2018-rr0058_22.fasta
3300034061_25.fna,3300034061_25,3300034061,25,ME02Sep2004-rr0028,ME02Sep2004-rr0028_25.fasta
3300034061_26.fna,3300034061_26,3300034061,26,ME02Sep2004-rr0028,ME02Sep2004-rr0028_26.fasta
3300034061_39.fna,3300034061_39,3300034061,39,ME02Sep2004-rr0028,ME02Sep2004-rr0028_39.fasta
3300034068_18.fna,3300034068_18,3300034068,18,ME13Apr2016-rr0031,ME13Apr2016-rr0031_18.fasta
3300034071_16.fna,3300034071_16,3300034071,16,ME17Oct2008D10-rr0110,ME17Oct2008D10-rr0110_16.fasta
3300034082_20.fna,3300034082_20,3300034082,20,ME05Jun2015-rr0088,ME05Jun2015-rr0088_20.fasta
3300034094_10.fna,3300034094_10,3300034094,10,ME11Sep2000-rr0077,ME11Sep2000-rr0077_10.fasta
3300034096_40.fna,3300034096_40,3300034096,40,ME15Oct2015-rr0098,ME15Oct2015-rr0098_40.fasta
3300034102_19.fna,3300034102_19,3300034102,19,ME17Jul2002-rr0112,ME17Jul2002-rr0112_19.fasta
3300034102_28.fna,3300034102_28,3300034102,28,ME17Jul2002-rr0112,ME17Jul2002-rr0112_28.fasta
3300034102_48.fna,3300034102_48,3300034102,48,ME17Jul2002-rr0112,ME17Jul2002-rr0112_48.fasta
3300034103_15.fna,3300034103_15,3300034103,15,ME27Sep2002-rr0119,ME27Sep2002-rr0119_15.fasta
3300034103_51.fna,3300034103_51,3300034103,51,ME27Sep2002-rr0119,ME27Sep2002-rr0119_51.fasta
3300034104_18.fna,3300034104_18,3300034104,18,ME02Aug2005-rr0120,ME02Aug2005-rr0120_18.fasta
3300034106_10.fna,3300034106_10,3300034106,10,ME23Aug2013-rr0131,ME23Aug2013-rr0131_10.fasta
3300034106_9.fna,3300034106_9,3300034106,9,ME23Aug2013-rr0131,ME23Aug2013-rr0131_9.fasta
3300034112_14.fna,3300034112_14,3300034112,14,ME27Aug2014-rr0191,ME27Aug2014-rr0191_14.fasta
3300034112_16.fna,3300034112_16,3300034112,16,ME27Aug2014-rr0191,ME27Aug2014-rr0191_16.fasta
3300034166_14.fna,3300034166_14,3300034166,14,ME13Sep2012-rr0079,ME13Sep2012-rr0079_14.fasta
3300034166_46.fna,3300034166_46,3300034166,46,ME13Sep2012-rr0079,ME13Sep2012-rr0079_46.fasta
3300034283_25.fna,3300034283_25,3300034283,25,ME07Aug2003-rr0061,ME07Aug2003-rr0061_25.fasta
3300034283_32.fna,3300034283_32,3300034283,32,ME07Aug2003-rr0061,ME07Aug2003-rr0061_32.fasta
3300034283_38.fna,3300034283_38,3300034283,38,ME07Aug2003-rr0061,ME07Aug2003-rr0061_38.fasta
3300034283_47.fna,3300034283_47,3300034283,47,ME07Aug2003-rr0061,ME07Aug2003-rr0061_47.fasta
3300034284_30.fna,3300034284_30,3300034284,30,ME08Jul2016-rr0075,ME08Jul2016-rr0075_30.fasta
3300034284_43.fna,3300034284_43,3300034284,43,ME08Jul2016-rr0075,ME08Jul2016-rr0075_43.fasta
3300036719_35.fna,3300036719_35,3300036719,35,ME29Aug2014-rr0070,ME29Aug2014-rr0070_35.fasta
3300037507_13.fna,3300037507_13,3300037507,13,ME11Sep2014-rr0078,ME11Sep2014-rr0078_13.fasta
3300037507_53.fna,3300037507_53,3300037507,53,ME11Sep2014-rr0078,ME11Sep2014-rr0078_53.fasta
3300037517_20.fna,3300037517_20,3300037517,20,ME25Aug2014-rr0139,ME25Aug2014-rr0139_20.fasta
3300037517_24.fna,3300037517_24,3300037517,24,ME25Aug2014-rr0139,ME25Aug2014-rr0139_24.fasta
3300037517_35.fna,3300037517_35,3300037517,35,ME25Aug2014-rr0139,ME25Aug2014-rr0139_35.fasta
3300037541_14.fna,3300037541_14,3300037541,14,ME07Sep2017-rr0141,ME07Sep2017-rr0141_14.fasta
3300042154_6.fna,3300042154_6,3300042154,6,ME25May2000-rr0732,ME25May2000-rr0732_6.fasta
